Car,Manufacturer,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,Origin
chevelle malibu,chevrolet,18,8,307,130,3504,12,70,American
skylark 320,buick,15,8,350,165,3693,11.5,70,American
satellite,plymouth,18,8,318,150,3436,11,70,American
rebel sst,amc,16,8,304,150,3433,12,70,American
torino,ford,17,8,302,140,3449,10.5,70,American
galaxie 500,ford,15,8,429,198,4341,10,70,American
impala,chevrolet,14,8,454,220,4354,9,70,American
fury iii,plymouth,14,8,440,215,4312,8.5,70,American
catalina,pontiac,14,8,455,225,4425,10,70,American
ambassador dpl,amc,15,8,390,190,3850,8.5,70,American
ds-21 pallas,citroen,NA,4,133,115,3090,17.5,70,European
chevelle concours (sw),chevrolet,NA,8,350,165,4142,11.5,70,American
torino (sw),ford,NA,8,351,153,4034,11,70,American
satellite (sw),plymouth,NA,8,383,175,4166,10.5,70,American
rebel sst (sw),amc,NA,8,360,175,3850,11,70,American
challenger se,dodge,15,8,383,170,3563,10,70,American
'cuda 340,plymouth,14,8,340,160,3609,8,70,American
mustang boss 302,ford,NA,8,302,140,3353,8,70,American
monte carlo,chevrolet,15,8,400,150,3761,9.5,70,American
estate wagon (sw),buick,14,8,455,225,3086,10,70,American
corona mark ii,toyota,24,4,113,95,2372,15,70,Japanese
duster,plymouth,22,6,198,95,2833,15.5,70,American
hornet,amc,18,6,199,97,2774,15.5,70,American
maverick,ford,21,6,200,85,2587,16,70,American
pl510,datsun,27,4,97,88,2130,14.5,70,Japanese
1131 deluxe sedan,vw,26,4,97,46,1835,20.5,70,European
504,peugeot,25,4,110,87,2672,17.5,70,European
100 ls,audi,24,4,107,90,2430,14.5,70,European
99e,saab,25,4,104,95,2375,17.5,70,European
2002,bmw,26,4,121,113,2234,12.5,70,European
gremlin,amc,21,6,199,90,2648,15,70,American
f250,ford,10,8,360,215,4615,14,70,American
c20,chevrolet,10,8,307,200,4376,15,70,American
d200,dodge,11,8,318,210,4382,13.5,70,American
1200d,hi,9,8,304,193,4732,18.5,70,American
pl510,datsun,27,4,97,88,2130,14.5,71,Japanese
vega 2300,chevrolet,28,4,140,90,2264,15.5,71,American
corona,toyota,25,4,113,95,2228,14,71,Japanese
pinto,ford,25,4,98,NA,2046,19,71,American
super beetle 117,vw,NA,4,97,48,1978,20,71,European
gremlin,amc,19,6,232,100,2634,13,71,American
satellite custom,plymouth,16,6,225,105,3439,15.5,71,American
chevelle malibu,chevrolet,17,6,250,100,3329,15.5,71,American
torino 500,ford,19,6,250,88,3302,15.5,71,American
matador,amc,18,6,232,100,3288,15.5,71,American
impala,chevrolet,14,8,350,165,4209,12,71,American
catalina brougham,pontiac,14,8,400,175,4464,11.5,71,American
galaxie 500,ford,14,8,351,153,4154,13.5,71,American
fury iii,plymouth,14,8,318,150,4096,13,71,American
monaco (sw),dodge,12,8,383,180,4955,11.5,71,American
country squire (sw),ford,13,8,400,170,4746,12,71,American
safari (sw),pontiac,13,8,400,175,5140,12,71,American
hornet sportabout (sw),amc,18,6,258,110,2962,13.5,71,American
vega (sw),chevrolet,22,4,140,72,2408,19,71,American
firebird,pontiac,19,6,250,100,3282,15,71,American
mustang,ford,18,6,250,88,3139,14.5,71,American
capri 2000,mercury,23,4,122,86,2220,14,71,American
opel 1900,buick,28,4,116,90,2123,14,71,European
304,peugeot,30,4,79,70,2074,19.5,71,European
124b,fiat,30,4,88,76,2065,14.5,71,European
corolla 1200,toyota,31,4,71,65,1773,19,71,Japanese
1200,datsun,35,4,72,69,1613,18,71,Japanese
model 111,vw,27,4,97,60,1834,19,71,European
cricket,plymouth,26,4,91,70,1955,20.5,71,American
corona hardtop,toyota,24,4,113,95,2278,15.5,72,Japanese
colt hardtop,dodge,25,4,97.5,80,2126,17,72,American
type 3,vw,23,4,97,54,2254,23.5,72,European
vega,chevrolet,20,4,140,90,2408,19.5,72,American
pinto runabout,ford,21,4,122,86,2226,16.5,72,American
impala,chevrolet,13,8,350,165,4274,12,72,American
catalina,pontiac,14,8,400,175,4385,12,72,American
fury iii,plymouth,15,8,318,150,4135,13.5,72,American
galaxie 500,ford,14,8,351,153,4129,13,72,American
ambassador sst,amc,17,8,304,150,3672,11.5,72,American
marquis,mercury,11,8,429,208,4633,11,72,American
lesabre custom,buick,13,8,350,155,4502,13.5,72,American
delta 88 royale,oldsmobile,12,8,350,160,4456,13.5,72,American
newport royal,chrysler,13,8,400,190,4422,12.5,72,American
rx2 coupe,mazda,19,3,70,97,2330,13.5,72,Japanese
matador (sw),amc,15,8,304,150,3892,12.5,72,American
chevelle concours (sw),chevrolet,13,8,307,130,4098,14,72,American
gran torino (sw),ford,13,8,302,140,4294,16,72,American
satellite custom (sw),plymouth,14,8,318,150,4077,14,72,American
145e (sw),volvo,18,4,121,112,2933,14.5,72,European
411 (sw),vw,22,4,121,76,2511,18,72,European
504 (sw),peugeot,21,4,120,87,2979,19.5,72,European
12 (sw),renault,26,4,96,69,2189,18,72,European
pinto (sw),ford,22,4,122,86,2395,16,72,American
510 (sw),datsun,28,4,97,92,2288,17,72,Japanese
corona mark ii (sw),toyota,23,4,120,97,2506,14.5,72,Japanese
colt (sw),dodge,28,4,98,80,2164,15,72,American
corolla 1600 (sw),toyota,27,4,97,88,2100,16.5,72,Japanese
century 350,buick,13,8,350,175,4100,13,73,American
matador,amc,14,8,304,150,3672,11.5,73,American
malibu,chevrolet,13,8,350,145,3988,13,73,American
gran torino,ford,14,8,302,137,4042,14.5,73,American
coronet custom,dodge,15,8,318,150,3777,12.5,73,American
marquis brougham,mercury,12,8,429,198,4952,11.5,73,American
caprice classic,chevrolet,13,8,400,150,4464,12,73,American
ltd,ford,13,8,351,158,4363,13,73,American
fury gran sedan,plymouth,14,8,318,150,4237,14.5,73,American
new yorker brougham,chrysler,13,8,440,215,4735,11,73,American
electra 225 custom,buick,12,8,455,225,4951,11,73,American
ambassador brougham,amc,13,8,360,175,3821,11,73,American
valiant,plymouth,18,6,225,105,3121,16.5,73,American
nova custom,chevrolet,16,6,250,100,3278,18,73,American
hornet,amc,18,6,232,100,2945,16,73,American
maverick,ford,18,6,250,88,3021,16.5,73,American
duster,plymouth,23,6,198,95,2904,16,73,American
super beetle,vw,26,4,97,46,1950,21,73,European
impala,chevrolet,11,8,400,150,4997,14,73,American
country,ford,12,8,400,167,4906,12.5,73,American
custom suburb,plymouth,13,8,360,170,4654,13,73,American
vista cruiser,oldsmobile,12,8,350,180,4499,12.5,73,American
gremlin,amc,18,6,232,100,2789,15,73,American
carina,toyota,20,4,97,88,2279,19,73,Japanese
vega,chevrolet,21,4,140,72,2401,19.5,73,American
610,datsun,22,4,108,94,2379,16.5,73,Japanese
rx3,mazda,18,3,70,90,2124,13.5,73,Japanese
pinto,ford,19,4,122,85,2310,18.5,73,American
capri v6,mercury,21,6,155,107,2472,14,73,American
124 sport coupe,fiat,26,4,98,90,2265,15.5,73,European
monte carlo s,chevrolet,15,8,350,145,4082,13,73,American
grand prix,pontiac,16,8,400,230,4278,9.5,73,American
128,fiat,29,4,68,49,1867,19.5,73,European
opel manta,buick,24,4,116,75,2158,15.5,73,European
100ls,audi,20,4,114,91,2582,14,73,European
144ea,volvo,19,4,121,112,2868,15.5,73,European
dart custom,dodge,15,8,318,150,3399,11,73,American
99le,saab,24,4,121,110,2660,14,73,European
mark ii,toyota,20,6,156,122,2807,13.5,73,Japanese
omega,oldsmobile,11,8,350,180,3664,11,73,American
duster,plymouth,20,6,198,95,3102,16.5,74,American
maverick,ford,21,6,200,NA,2875,17,74,American
hornet,amc,19,6,232,100,2901,16,74,American
nova,chevrolet,15,6,250,100,3336,17,74,American
b210,datsun,31,4,79,67,1950,19,74,Japanese
pinto,ford,26,4,122,80,2451,16.5,74,American
corolla 1200,toyota,32,4,71,65,1836,21,74,Japanese
vega,chevrolet,25,4,140,75,2542,17,74,American
chevelle malibu classic,chevrolet,16,6,250,100,3781,17,74,American
matador,amc,16,6,258,110,3632,18,74,American
satellite sebring,plymouth,18,6,225,105,3613,16.5,74,American
gran torino,ford,16,8,302,140,4141,14,74,American
century luxus (sw),buick,13,8,350,150,4699,14.5,74,American
coronet custom (sw),dodge,14,8,318,150,4457,13.5,74,American
gran torino (sw),ford,14,8,302,140,4638,16,74,American
matador (sw),amc,14,8,304,150,4257,15.5,74,American
fox,audi,29,4,98,83,2219,16.5,74,European
dasher,vw,26,4,79,67,1963,15.5,74,European
opel manta,buick,26,4,97,78,2300,14.5,74,European
corona,toyota,31,4,76,52,1649,16.5,74,Japanese
710,datsun,32,4,83,61,2003,19,74,Japanese
